url,name,designation,college,department,research_area,research_area_details,experience,institution_name,,,,,,,,,,
https://nitt.irins.org/profile/604651,Mr Sanmati Jinendran Jain,Assistant Librarian,"National Institute of Technology, Tiruchirappalli",Central Library,Library and Information Science,"Research and Publication Ethics, Altmetrics, Open Science","[""Assistant Librarian | Central Library | National Institute of Technology, Tiruchirappalli"", ""Superintendent | Central Library | Indian Institute of Technology, Goa"", ""Semi-Professional Assistant | Central Library | Central University of Tamil Nadu"", ""Junior Technician (Library) | Library | Indian Institute of Information Technology, Design and Manufacturing, Kancheepuram"", ""Officer | Information Resource Centre | Tata Consultancy Services (TCS)"", ""Library Intern | Library | Indian Institute for Human Settlements""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/123774,Dr S Siva Chidambaram,Librarian,"National Institute of Technology, Tiruchirappalli",Central Library,Library and Information Science,"Special Library, Academic Library System, Institutional Repository, Library Automation, Digital Library, Open Science Movement, Scholarly Communication, E-resources management, and Medical Librarianship.","[""Librarian | Central Library | National Institute of Technology, Tiruchirappalli"", ""Chief Librarian | Central Library | All India Institute of Medical Sciences, Delhi"", ""Librarian | Library | National Institute of Public Finance and Policy (NIPFP)"", ""Assistant Librarian | Library | National Council of Applied Economic Research""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92981,Dr Padmanaban Gopalakrishnan,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,"Sacred Architecture, Place Attachment","[""Associate Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/53982,Prof G Subbaiyan,Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,"Fear of Crime and Built Environment, Architectural Lighting, Indoor Environmental Quality, Energy Efficient Buildings and Spatial Planning.","[""Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli"", ""Associate Professor | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor | National Institute of Technology, Tiruchirappalli"", ""Lecturer | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/323017,Dr Tony Marcel  Nisha,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,"Culture and Architecture, Vernacular Architecture, Heritage and Sustainable development, Culture and Urban Development.","[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92979,Ms G Sangeetha,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,Building Technology and Construction Management,"[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92983,Dr D Kannamma,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,"Landscape Architecture, Outdoor Thermal Study","[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92987,Mr Amalan Sigmund Kaushik S,Assistant Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,Building Design and Construction,"[""Assistant Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/92975,Dr L Saikala,Associate Professor,"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,Civil engineering and Structural engineering,"[""Associate Professor | Department of Architecture | National Institute of Technology, Tiruchirappalli""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
https://nitt.irins.org/profile/577575,Dr Arvind Kumar,Assistant Professor (Grade-II),"National Institute of Technology, Tiruchirappalli",Department of Architecture,Architecture,"Sustainable Infrastructure and Energy-Efficient Design, Smart Cities and Campus Planning, Digital Technology in Architecture, Policy Planning for Sustainable Development, Multidisciplinary Research and Innovation, Green and Efficient Building Systems, Urban and Rural Dynamics, Development Planning","[""Assistant Professor (Grade-II) | Department of Architecture | National Institute of Technology, Tiruchirappalli"", ""Assistant Professor (Grade-II) | Department of Architecture and Planning | Maulana Azad National Institute of Technology Bhopal""]",National Institute of Technology Tiruchirappalli,,,,,,,,,,
